 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time
 0,             0,               0,              0,         0,           0,          0,          0,            0,           0,             0,               0,              0
 1,             0,               0,              0,         0,           0,          0,          0,            0,           0,             0,               0,              0
 2,             1,               0,              0,         1,           0,          1,          1,            0,           0,             2,               0,              0
 3,             2,               0,              0,         2,           0,          1,          3,            0,           0,             5,               0,              0
 4,             4,               1,              1,         4,           0,          2,          6,            1,           1,             9,               1,              1
 5,             8,               5,              1,         7,           0,          2,         10,            5,           1,            14,               3,              1
 6,            13,               9,              1,        10,           0,          3,         15,            9,           2,            20,               5,              1
 7,            15,              10,              1,        13,           0,          3,         21,           10,           2,            27,               6,              2
 8,            17,              11,              1,        15,           0,          3,         28,           11,           2,            35,               7,              2
 9,            20,              13,              2,        17,           0,          3,         36,           13,           3,            44,               7,              3
10,            21,              13,              1,        22,           0,          4,         45,           13,           2,            54,               7,              3
