 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
 0,             0,               0,              0,         1,           0,          1,          0,            0,           0,             0,               0,              0,         1,           0,          0,        0,          0,         0,          0,            0,           0,         0,           0,          0
 1,             1,               0,              0,         1,           0,          0,          0,            0,           0,             0,               0,              0,         1,           0,          0,        0,          0,         0,          0,            0,           5,         0,           0,          0
 2,             3,               0,              0,        10,           0,          1,          1,            0,           0,             2,               0,              0,        11,           2,          1,       10,          2,         1,          0,            0,           5,         1,           0,          2
 3,             5,               0,              0,        22,           0,          2,          3,            0,           0,             5,               0,              0,        13,           2,          1,       18,          4,         1,          0,            0,           6,         2,           0,          5
 4,             9,               1,              0,        33,           0,          2,          6,            1,           1,             9,               1,              1,        24,           4,          1,       33,          7,         2,          0,            0,           8,         3,           0,          3
 5,            18,               5,              1,        51,           0,          4,         10,            5,           1,            14,               3,              1,        45,           7,          2,       43,          9,         2,          0,            0,           8,         4,           0,          2
 6,            28,               9,              1,        67,           0,          4,         15,            9,           1,            20,               5,              1,        61,           9,          2,       64,         13,         3,          0,            0,           9,         5,           0,          2
 7,            32,              10,              1,        79,           0,          5,         21,           10,           1,            27,               6,              1,        77,          12,          3,       78,         16,         3,          0,            0,          11,         6,           0,          2
 8,            36,              11,              1,        92,           0,          5,         28,           11,           1,            35,               7,              2,        92,          14,          3,      102,         21,         6,          0,            0,          11,         7,           0,          3
 9,            42,              13,              1,       114,           0,          6,         36,           13,           2,            44,               7,              2,       103,          13,          4,      121,         25,         5,          0,            0,          13,         8,           0,          3
10,            44,              13,              2,       132,           0,          7,         45,           13,          86,            54,               7,              2,       137,          16,          6,      142,         29,         7,          0,            0,          17,         9,           0,          3
