 n, insertion_cmp, insertion_swaps, insertion_time
 0,             0,               0,              0
 1,             1,               0,              0
 2,             3,               0,              1
 3,             5,               0,              1
 4,             7,               0,              1
 5,             9,               0,              1
 6,            13,               1,              1
 7,            21,               4,              2
 8,            23,               4,              2
 9,            25,               4,              2
10,            27,               4,              2
